año,n_concursados,n_aprobados,monto_solicitado,monto_aprobado
2010,1022,412,98378621,39924069
2011,1019,503,102154404,50304527
2012,1164,605,126418134,64883226
2013,1135,631,130174825,74903670
2014,1286,581,158782579,70191814
2015,1499,581,61298950,21610672
2016,1758,514,270783146,78351597
2017,1850,517,295121599,79460069
